Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	RD139_Narrow_UPS1_0_1fmol_inj3.mzML	RD139_Narrow_UPS1_0_1fmol_inj1.mzML	RD139_Narrow_UPS1_0_1fmol_inj2.mzML	RD139_Narrow_UPS1_0_25fmol_inj3.mzML	RD139_Narrow_UPS1_0_25fmol_inj1.mzML	RD139_Narrow_UPS1_0_25fmol_inj2.mzML
P0A8W0	P0A8W0	NANR_ECOLI	nanR	Transcriptional regulator NanR	817621	908413	877437	892249	853378	809707
P0A8W5	P0A8W5	YQGE_ECOLI	yqgE	UPF0301 protein YqgE	1.29784e+06	1.18821e+06	1.21276e+06	1.13652e+06	1.18595e+06	1.08752e+06
P0A8W8	P0A8W8	YFBU_ECOLI	yfbU	UPF0304 protein YfbU	3.75162e+06	3.39078e+06	4.19328e+06	4.04921e+06	4.6263e+06	4.08415e+06
P0A8X0	P0A8X0	YJGA_ECOLI	yjgA	UPF0307 protein YjgA	1.54678e+06	1.21839e+06	1.28114e+06	1.29404e+06	1.25727e+06	1.4021e+06
P0A8Y1	P0A8Y1	YJJG_ECOLI	yjjG	Pyrimidine 5'-nucleotidase YjjG	511166	575023	483918	658327	664593	767264
P0A8Y3	P0A8Y3	YIHX_ECOLI	yihX	Alpha-D-glucose 1-phosphate phosphatase YihX	136867		138086	309350	382368	220004
P0A8Y5	P0A8Y5	YIDA_ECOLI	yidA	Sugar phosphatase YidA	675788	636589	701018	687745	647665	680202
P0A8Z0	P0A8Z0	YCIA_ECOLI	yciA	Acyl-CoA thioester hydrolase YciA	265620	302035	333740	302987	379377	385191
P0A901	P0A901	BLC_ECOLI	blc	Outer membrane lipoprotein Blc	755828	411398	546308	517236	668284	634605
P0A903	P0A903	BAMC_ECOLI	bamC	Outer membrane protein assembly factor BamC	1.9674e+07	2.0474e+07	2.10396e+07	2.12797e+07	2.13884e+07	2.15564e+07
P0A905	P0A905	SLYB_ECOLI	slyB	Outer membrane lipoprotein SlyB	4.26202e+06	4.01551e+06	4.22781e+06	4.41012e+06	5.04419e+06	5.09506e+06
P0A908	P0A908	MIPA_ECOLI	mipA	MltA-interacting protein	701610	528550	556047	559526	662068	559960
P0A910	P0A910	OMPA_ECOLI	ompA	Outer membrane protein A	1.40802e+08	1.32743e+08	1.23299e+08	1.54825e+08	1.55154e+08	1.54499e+08
P0A912	P0A912	PAL_ECOLI	pal	Peptidoglycan-associated lipoprotein	3.49235e+07	3.47437e+07	3.45149e+07	4.21413e+07	4.36442e+07	4.33083e+07
P0A915	P0A915	OMPW_ECOLI	ompW	Outer membrane protein W	3.30137e+06	2.85448e+06	3.00039e+06	2.55403e+06	2.43635e+06	2.55073e+06
P0A917	P0A917	OMPX_ECOLI	ompX	Outer membrane protein X	1.652e+07	1.49118e+07	1.6869e+07	1.75288e+07	1.70082e+07	1.62465e+07
P0A921	P0A921	PA1_ECOLI	pldA	Phospholipase A1	2.08047e+06	1.93318e+06	2.04393e+06	1.94924e+06	1.98983e+06	2.11739e+06
P0A927	P0A927	TSX_ECOLI	tsx	Nucleoside-specific channel-forming protein tsx	5.65427e+06	5.19945e+06	5.12576e+06	6.42072e+06	6.40112e+06	5.96793e+06
P0A932	P0A932	GFCE_ECOLI	gfcE	Putative polysaccharide export protein GfcE	1.74434e+06	1.48081e+06	1.44694e+06	1.59792e+06	1.67677e+06	1.72889e+06
P0A935	P0A935	MLTA_ECOLI	mltA	Membrane-bound lytic murein transglycosylase A	1.67459e+06	1.65106e+06	1.73405e+06	1.49121e+06	1.56759e+06	1.53106e+06
P0A937	P0A937	BAME_ECOLI	bamE	Outer membrane protein assembly factor BamE	9.42302e+06	8.90685e+06	9.0894e+06	8.96402e+06	9.10239e+06	9.48907e+06
P0A940	P0A940	BAMA_ECOLI	bamA	Outer membrane protein assembly factor BamA	1.00628e+07	9.82697e+06	9.71262e+06	9.88249e+06	9.57527e+06	9.11392e+06
P0A944	P0A944	RIMI_ECOLI	rimI	Ribosomal-protein-alanine acetyltransferase		146192		299151	247917	390350
P0A948	P0A948	RIMJ_ECOLI	rimJ	Ribosomal-protein-alanine acetyltransferase	342127	297480	361940	199509	279870	250082
P0A951	P0A951	ATDA_ECOLI	speG	Spermidine N(1)-acetyltransferase	673961	769758	872572	602186	843604	726071
P0A953	P0A953	FABB_ECOLI	fabB	3-oxoacyl-[acyl-carrier-protein] synthase 1	3.88429e+06	3.72952e+06	3.51384e+06	4.17439e+06	3.85603e+06	4.04132e+06
P0A955	P0A955	ALKH_ECOLI	eda	KHG/KDPG aldolase	2.10968e+06	1.81119e+06	1.91986e+06	2.00555e+06	2.26726e+06	2.26793e+06
P0A959	P0A959	ALAA_ECOLI	alaA	Glutamate-pyruvate aminotransferase AlaA	2.51303e+06	2.34619e+06	2.28975e+06	1.99666e+06	2.15349e+06	2.09576e+06
P0A968	P0A968	CSPD_ECOLI	cspD	Cold shock-like protein CspD	2.17608e+06	2.21851e+06	2.06238e+06	2.12135e+06	2.19992e+06	2.16222e+06
P0A972	P0A972	CSPE_ECOLI	cspE	Cold shock-like protein CspE	2.01757e+07	1.74157e+07	2.00942e+07	2.16578e+07	2.01816e+07	2.08803e+07
P0A978	P0A978	CSPG_ECOLI	cspG	Cold shock-like protein CspG	2.35022e+06	2.26875e+06	2.80793e+06	2.16592e+06	2.05723e+06	2.24442e+06
P0A988	P0A988	DPO3B_ECOLI	dnaN	DNA polymerase III subunit beta	2.71819e+06	2.84807e+06	2.96108e+06	3.14689e+06	3.3496e+06	3.08491e+06
P0A991	P0A991	ALF1_ECOLI	fbaB	Fructose-bisphosphate aldolase class 1	312829	166569	233900	179525	192598	293126
P0A993	P0A993	F16PA_ECOLI	fbp	Fructose-1,6-bisphosphatase class 1	3.98801e+06	3.62855e+06	3.90809e+06	3.75955e+06	4.05828e+06	4.00194e+06
P0A996	P0A996	GLPC_ECOLI	glpC	Anaerobic glycerol-3-phosphate dehydrogenase subunit C	1.74727e+06	1.75201e+06	1.67672e+06	1.80862e+06	1.76546e+06	1.70482e+06
P0A998	P0A998	FTNA_ECOLI	ftnA	Bacterial non-heme ferritin	100549	73619		233458	120710	122942
P0A9A6	P0A9A6	FTSZ_ECOLI	ftsZ	Cell division protein FtsZ	9.98505e+06	9.04217e+06	1.02206e+07	9.99291e+06	9.99401e+06	1.01203e+07
P0A9A9	P0A9A9	FUR_ECOLI	fur	Ferric uptake regulation protein	2.60524e+06	2.72414e+06	2.80065e+06	2.99278e+06	3.22207e+06	3.06951e+06
P0A9B2	P0A9B2	G3P1_ECOLI	gapA	Glyceraldehyde-3-phosphate dehydrogenase A	3.23704e+08	2.7861e+08	3.0817e+08	3.37662e+08	3.36962e+08	3.357e+08
P0A9B6	P0A9B6	E4PD_ECOLI	epd	D-erythrose-4-phosphate dehydrogenase	1.6586e+06	1.69037e+06	1.43085e+06	1.48174e+06	1.61991e+06	1.51251e+06
P0A9C0	P0A9C0	GLPA_ECOLI	glpA	Anaerobic glycerol-3-phosphate dehydrogenase subunit A	839485	781866	825497	873926	828324	836459
P0A9C3	P0A9C3	GALM_ECOLI	galM	Aldose 1-epimerase	1.52739e+06	1.47614e+06	1.44045e+06	1.55972e+06	1.5012e+06	1.58514e+06
P0A9C5	P0A9C5	GLNA_ECOLI	glnA	Glutamine synthetase	7.11429e+07	6.10502e+07	6.77612e+07	7.11884e+07	6.40158e+07	6.68849e+07
P0A9C9	P0A9C9	GLPX_ECOLI	glpX	Fructose-1,6-bisphosphatase 1 class 2	2.65383e+06	2.554e+06	2.44891e+06	2.53834e+06	2.43631e+06	2.6453e+06
P0A9D2	P0A9D2	GSTA_ECOLI	gstA	Glutathione S-transferase GstA	2.64065e+06	2.743e+06	2.77931e+06	2.4318e+06	2.70674e+06	2.41566e+06
P0A9D4	P0A9D4	CYSE_ECOLI	cysE	Serine acetyltransferase	3.71737e+06	3.55451e+06	3.57764e+06	4.02825e+06	4.73085e+06	3.72144e+06
P0A9D8	P0A9D8	DAPD_ECOLI	dapD	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	4.12213e+07	4.42769e+07	4.04093e+07	3.8417e+07	3.85056e+07	3.76626e+07
P0A9E5	P0A9E5	FNR_ECOLI	fnr	Fumarate and nitrate reduction regulatory protein	4.4277e+06	4.6291e+06	4.43045e+06	4.58891e+06	4.54462e+06	4.63856e+06
P0A9F1	P0A9F1	MNTR_ECOLI	mntR	Transcriptional regulator MntR	389156	327266	370629	329628	248752	277098
P0A9F3	P0A9F3	CYSB_ECOLI	cysB	HTH-type transcriptional regulator CysB	983498	419378	442371	535552	430401	426602
P0A9G6	P0A9G6	ACEA_ECOLI	aceA	Isocitrate lyase	7.72706e+06	8.42262e+06	8.33893e+06	8.29503e+06	8.54855e+06	8.58954e+06
P0A9G8	P0A9G8	MODE_ECOLI	modE	Transcriptional regulator ModE	313598	331746	373026	338260	310522	330434
P0A9H1	P0A9H1	MUG_ECOLI	mug	G/U mismatch-specific DNA glycosylase	656228	623071	675426	702634	613285	619001
P0A9H5	P0A9H5	BTUR_ECOLI	btuR	Cob(I)yrinic acid a,c-diamide adenosyltransferase	654217	534303	689853	728863	747180	704857
P0A9H7	P0A9H7	CFA_ECOLI	cfa	Cyclopropane-fatty-acyl-phospholipid synthase	1.09001e+06	1.19024e+06	1.22252e+06	1.02101e+06	1.01078e+06	1.03821e+06
P0A9H9	P0A9H9	CHEZ_ECOLI	cheZ	Protein phosphatase CheZ	2.31556e+06	2.2089e+06	2.16735e+06	2.40272e+06	2.4406e+06	2.26132e+06
P0A9I1	P0A9I1	CITE_ECOLI	citE	Citrate lyase subunit beta	2.61061e+06	2.64912e+06	2.67224e+06	2.60119e+06	2.61861e+06	2.63982e+06
P0A9I3	P0A9I3	GCVR_ECOLI	gcvR	Glycine cleavage system transcriptional repressor	1.0783e+06	1.28393e+06	1.3349e+06	1.19625e+06	1.18457e+06	1.26292e+06
P0A9I8	P0A9I8	NIRD_ECOLI	nirD	Nitrite reductase (NADH) small subunit	2.2138e+06	2.185e+06	2.55298e+06	2.5794e+06	2.75614e+06	2.83375e+06
P0A9J0	P0A9J0	RNG_ECOLI	rng	Ribonuclease G	1.30699e+06	1.44404e+06	1.50971e+06	1.49632e+06	1.40513e+06	1.40892e+06
P0A9J4	P0A9J4	PANE_ECOLI	panE	2-dehydropantoate 2-reductase	164819	214577	186392	203727	257845	250299
P0A9J6	P0A9J6	RBSK_ECOLI	rbsK	Ribokinase	1.02106e+06	757121	998071	871548	955320	889156
P0A9J8	P0A9J8	PHEA_ECOLI	pheA	P-protein	940921	988236	869848	922655	726510	794436
P0A9K3	P0A9K3	PHOL_ECOLI	ybeZ	PhoH-like protein	4.65177e+06	4.53817e+06	4.78845e+06	4.38159e+06	4.48625e+06	4.93061e+06
P0A9K7	P0A9K7	PHOU_ECOLI	phoU	Phosphate-specific transport system accessory protein PhoU	1.53451e+06	1.42054e+06	1.5308e+06	1.51043e+06	1.18882e+06	1.4164e+06
P0A9K9	P0A9K9	SLYD_ECOLI	slyD	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD	503000	595986	634193	933676	1.12154e+06	921774
P0A9L3	P0A9L3	FKBB_ECOLI	fklB	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase	2.5127e+06	2.07029e+06	2.84428e+06	2.69724e+06	2.44438e+06	3.13067e+06
P0A9L5	P0A9L5	PPIC_ECOLI	ppiC	Peptidyl-prolyl cis-trans isomerase C	158459	105927	87264	262302	154884	157282
P0A9M0	P0A9M0	LON_ECOLI	lon	Lon protease	5.20802e+06	5.17315e+06	5.54033e+06	5.54433e+06	5.4782e+06	5.57688e+06
P0A9M2	P0A9M2	HPRT_ECOLI	hpt	Hypoxanthine phosphoribosyltransferase	2.76505e+06	3.0954e+06	2.86446e+06	3.07366e+06	3.29008e+06	3.20341e+06
P0A9M5	P0A9M5	XGPT_ECOLI	gpt	Xanthine phosphoribosyltransferase	1.43157e+07	1.26031e+07	1.39347e+07	1.46618e+07	1.39715e+07	1.43526e+07
P0A9M8	P0A9M8	PTA_ECOLI	pta	Phosphate acetyltransferase	4.24914e+07	3.95937e+07	4.12332e+07	4.4453e+07	4.32188e+07	4.47087e+07
P0A9N4	P0A9N4	PFLA_ECOLI	pflA	Pyruvate formate-lyase 1-activating enzyme	3.5654e+06	3.64749e+06	3.49627e+06	3.59581e+06	3.6473e+06	3.3239e+06
P0A9P0	P0A9P0	DLDH_ECOLI	lpdA	Dihydrolipoyl dehydrogenase	3.98347e+07	3.81467e+07	4.05809e+07	4.12411e+07	4.1043e+07	4.08727e+07
P0A9P4	P0A9P4	TRXB_ECOLI	trxB	Thioredoxin reductase	1.23949e+07	1.31929e+07	1.27096e+07	1.47275e+07	1.49328e+07	1.53393e+07
P0A9P6	P0A9P6	DEAD_ECOLI	deaD	ATP-dependent RNA helicase DeaD	3.89245e+06	3.66086e+06	3.67087e+06	3.76996e+06	3.77568e+06	3.85256e+06
P0A9Q1	P0A9Q1	ARCA_ECOLI	arcA	Aerobic respiration control protein ArcA	1.04893e+07	1.0004e+07	1.06573e+07	1.06678e+07	1.10916e+07	1.06798e+07
P0A9Q5	P0A9Q5	ACCD_ECOLI	accD	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	4.91033e+06	5.01311e+06	5.38685e+06	5.08955e+06	4.73186e+06	4.99757e+06
P0A9Q7	P0A9Q7	ADHE_ECOLI	adhE	Aldehyde-alcohol dehydrogenase	8.78059e+07	8.31925e+07	8.74743e+07	8.72103e+07	8.52938e+07	8.71836e+07
P0A9Q9	P0A9Q9	DHAS_ECOLI	asd	Aspartate-semialdehyde dehydrogenase	2.18495e+07	2.13331e+07	2.11218e+07	2.0695e+07	2.0311e+07	2.03859e+07
P0A9R7	P0A9R7	FTSE_ECOLI	ftsE	Cell division ATP-binding protein FtsE	724379	728225	661462	475938	561005	581724
P0A9S1	P0A9S1	FUCO_ECOLI	fucO	Lactaldehyde reductase	538287	592194	606358	658818	577170	633330
P0A9S5	P0A9S5	GLDA_ECOLI	gldA	Glycerol dehydrogenase	1.34187e+07	1.22517e+07	1.26509e+07	1.37304e+07	1.39171e+07	1.33499e+07
P0A9T0	P0A9T0	SERA_ECOLI	serA	D-3-phosphoglycerate dehydrogenase	4.76866e+06	4.56645e+06	4.92367e+06	5.50772e+06	5.1885e+06	5.28022e+06
P0A9T4	P0A9T4	TAS_ECOLI	tas	Protein tas	1.16129e+06	1.32417e+06	1.21724e+06	1.39668e+06	1.29456e+06	1.24327e+06
P0A9T6	P0A9T6	YBAQ_ECOLI	ybaQ	Uncharacterized HTH-type transcriptional regulator YbaQ	767217	657198	770112	582089	504212	564499
P0A9T8	P0A9T8	YBBA_ECOLI	ybbA	Uncharacterized ABC transporter ATP-binding protein YbbA	361664	375642	338908	361616	343927	390547
P0A9U3	P0A9U3	YBIT_ECOLI	ybiT	Uncharacterized ABC transporter ATP-binding protein YbiT	719622	292595	532064	885087	471286	629219
P0A9V1	P0A9V1	LPTB_ECOLI	lptB	Lipopolysaccharide export system ATP-binding protein LptB	5.54057e+06	5.41527e+06	5.05846e+06	4.76933e+06	4.88513e+06	4.65392e+06
P0A9W3	P0A9W3	ETTA_ECOLI	ettA	Energy-dependent translational throttle protein EttA	9.14245e+06	1.01245e+07	9.98804e+06	9.18272e+06	8.7877e+06	8.90787e+06
P0A9W6	P0A9W6	IBAG_ECOLI	ibaG	Acid stress protein IbaG	815653	845763	860570	783295	915050	749550
P0A9X1	P0A9X1	ZNUC_ECOLI	znuC	Zinc import ATP-binding protein ZnuC	431311	417855	417903	487079	451127	417618
P0A9X4	P0A9X4	MREB_ECOLI	mreB	Rod shape-determining protein MreB	1.30968e+07	1.18682e+07	1.26254e+07	1.23537e+07	1.26934e+07	1.32505e+07
P0A9X9	P0A978;P0A9X9	CSPA_ECOLI	cspA	Cold shock protein CspA	9.93336e+06	9.75291e+06	1.00564e+07	8.33058e+06	7.85259e+06	8.10382e+06
P0A9Y6	P0A9Y6	CSPC_ECOLI	cspC	Cold shock-like protein CspC	1.77722e+07	1.70199e+07	1.68934e+07	1.8822e+07	1.7864e+07	1.8458e+07
P0A9Z1	P0A9Z1	GLNB_ECOLI	glnB	Nitrogen regulatory protein P-II 1	1.64575e+06	1.38226e+06	1.75911e+06	2.04201e+06	1.61428e+06	1.55505e+06
P0AA04	P0AA04	PTHP_ECOLI	ptsH	Phosphocarrier protein HPr	2.77379e+06	2.41036e+06	2.91923e+06	3.98684e+06	3.86806e+06	3.5584e+06
P0AA10	P0AA10	RL13_ECOLI	rplM	50S ribosomal protein L13	2.13046e+07	2.04602e+07	2.15146e+07	2.08893e+07	2.00409e+07	2.07833e+07
P0AA16	P0AA16	OMPR_ECOLI	ompR	Transcriptional regulatory protein OmpR	7.5102e+06	7.83565e+06	7.18135e+06	7.16554e+06	7.32064e+06	7.05566e+06
P0AA25	P0AA25	THIO_ECOLI	trxA	Thioredoxin-1	8.5829e+06	7.0642e+06	7.32934e+06	7.33164e+06	6.95027e+06	7.19239e+06
P0AA31	P0AA31	YEDF_ECOLI	yedF	UPF0033 protein YedF	3.09425e+06	3.01931e+06	3.11755e+06	3.14573e+06	3.10965e+06	3.30427e+06
P0AA39	P0AA39	RLUC_ECOLI	rluC	Ribosomal large subunit pseudouridine synthase C	579417	436110	735630	411587	429302	720471
P0AA43	P0AA43	RSUA_ECOLI	rsuA	Ribosomal small subunit pseudouridine synthase A	1.63393e+06	1.75608e+06	1.68715e+06	1.60147e+06	1.79014e+06	1.68199e+06
P0AA53	P0AA53	QMCA_ECOLI	qmcA	Protein QmcA	316563	352455	357424	322743	442466	385048
P0AA86	P0AA86	DSBE_ECOLI	dsbE	Thiol:disulfide interchange protein DsbE	848644	628491	752478	967976	913316	880683
P0AA91	P0AA91	YEAY_ECOLI	yeaY	Uncharacterized lipoprotein YeaY	1.10037e+06	997528	1.07983e+06	818571	1.03726e+06	984726
P0AA93	P0AA93	YPDA_ECOLI	ypdA	Sensor histidine kinase YpdA	144449	193835	203117	236143	149296	257733
P0AA97	P0AA97	YAEQ_ECOLI	yaeQ	Uncharacterized protein YaeQ	1.32271e+06	1.45989e+06	1.32781e+06	1.59085e+06	1.4776e+06	1.63377e+06
P0AAA1	P0AAA1	YAGU_ECOLI	yagU	Inner membrane protein YagU	4.58766e+06	4.21384e+06	4.65934e+06	4.50102e+06	4.75177e+06	4.44386e+06
P0AAB4	P0AAB4	UBID_ECOLI	ubiD	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	1.76713e+06	1.78615e+06	1.74642e+06	1.91409e+06	1.61839e+06	1.67259e+06
P0AAB6	P0AAB6	GALF_ECOLI	galF	UTP--glucose-1-phosphate uridylyltransferase	9.54176e+06	9.28035e+06	9.65666e+06	1.10013e+07	1.18763e+07	1.17945e+07
P0AAB8	P0AAB8	USPD_ECOLI	uspD	Universal stress protein D	875304	717144	979210	1.06382e+06	925095	1.05013e+06
P0AAC0	P0AAC0	USPE_ECOLI	uspE	Universal stress protein E	2.58014e+06	2.55315e+06	2.63481e+06	2.57396e+06	2.28154e+06	2.38055e+06
P0AAC8	P0AAC8	ISCA_ECOLI	iscA	Iron-binding protein IscA	602544	533759	638521	602168	646928	625864
P0AAF6	P0AAF6	ARTP_ECOLI	artP	Arginine transport ATP-binding protein ArtP	759950	707247	785935	714628	709154	742128
P0AAG3	P0AAG3	GLTL_ECOLI	gltL	Glutamate/aspartate transport ATP-binding protein GltL	255907	172014	248961	314147	226594	289625
P0AAI3	P0AAI3	FTSH_ECOLI	ftsH	ATP-dependent zinc metalloprotease FtsH	1.75528e+07	1.64014e+07	1.76354e+07	1.73828e+07	1.74805e+07	1.77343e+07
P0AAI5	P0AAI5	FABF_ECOLI	fabF	3-oxoacyl-[acyl-carrier-protein] synthase 2	8.0989e+06	7.34332e+06	7.69173e+06	8.18453e+06	8.03797e+06	8.04382e+06
P0AAI9	P0AAI9	FABD_ECOLI	fabD	Malonyl CoA-acyl carrier protein transacylase	1.00508e+07	1.05819e+07	1.03823e+07	8.58351e+06	8.96552e+06	1.00187e+07
P0AAJ5	P0AAJ5	FDOH_ECOLI	fdoH	Formate dehydrogenase-O iron-sulfur subunit	812855	655984	825459	753848	708770	577175
P0AAJ8	P0AAJ8	HYBA_ECOLI	hybA	Hydrogenase-2 operon protein HybA	1.72177e+06	1.28551e+06	1.64055e+06	1.65717e+06	1.29728e+06	1.71736e+06
P0AAK1	P0AAK1	HYCB_ECOLI	hycB	Formate hydrogenlyase subunit 2	189042	190496	204943	179777	220571	183356
P0AAL3	P0AAL3	NAPG_ECOLI	napG	Ferredoxin-type protein NapG	222263	332414	273761	366817	306917	341760
P0AAN3	P0AAN3	HYPB_ECOLI	hypB	Hydrogenase isoenzymes nickel incorporation protein HypB	2.71312e+06	2.70627e+06	2.76078e+06	2.71315e+06	2.66561e+06	2.77846e+06
P0AAP3	P0AAP3	FRMR_ECOLI	frmR	Transcriptional repressor FrmR	1.97355e+06	2.08542e+06	2.46326e+06	2.43789e+06	2.77671e+06	2.32809e+06
P0AAQ2	P0AAQ2	YAJD_ECOLI	yajD	Uncharacterized protein YajD	335701	379962	323826	316231	361459	289591
P0AAR3	P0AAR3	YBAK_ECOLI	ybaK	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK	2.28901e+06	2.45239e+06	2.26846e+06	2.40295e+06	2.50211e+06	2.26316e+06
P0AAS0	P0AAS0	YLAC_ECOLI	ylaC	Inner membrane protein YlaC	146511	187667	193947	155868	214907	166075
P0AAT6	P0AAT6	IOJAP_ECOLI	rsfS	Ribosomal silencing factor RsfS	3.48071e+06	2.8911e+06	2.52796e+06	3.18095e+06	3.23511e+06	3.06191e+06
P0AAT9	P0AAT9	YBEL_ECOLI	ybeL	Uncharacterized protein YbeL				49883.7	114729	100394
P0AAU7	P0AAU7	YBFE_ECOLI	ybfE	Uncharacterized protein YbfE	1.46267e+06	1.4391e+06	1.61e+06	1.3833e+06	1.33604e+06	1.29091e+06
P0AAV4	P0AAV4	YBGJ_ECOLI	ybgJ	Uncharacterized protein YbgJ	252794	383277	348654	398914	454018	475610
P0AAX8	P0AAX8	YBIS_ECOLI	ybiS	Probable L,D-transpeptidase YbiS	3.93569e+06	4.1777e+06	4.05138e+06	3.90285e+06	4.01169e+06	3.9183e+06
P0AAZ7	P0AAZ7	YCAR_ECOLI	ycaR	UPF0434 protein YcaR	9.29372e+06	9.58292e+06	9.46472e+06	8.54232e+06	8.42736e+06	8.45828e+06
P0AB01	P0AB01	ELYC_ECOLI	elyC	Envelope biogenesis factor ElyC		351483	534377	776532	783449	660338
P0AB10	P0AB10	YMBA_ECOLI	ymbA	Uncharacterized lipoprotein YmbA	680736	686291	579714	654916	593038	653875
P0AB12	P0AB12	YCCF_ECOLI	yccF	Inner membrane protein YccF		217142	150784	197886	113210	239372
P0AB14	P0AB14	YCCJ_ECOLI	yccJ	Uncharacterized protein YccJ	1.87351e+06	1.91644e+06	1.95727e+06	1.94658e+06	1.95706e+06	1.89547e+06
P0AB18	P0AB18	TUSE_ECOLI	tusE	Sulfurtransferase TusE	1.06578e+06	1.07042e+06	1.19254e+06	1.33715e+06	1.28154e+06	1.29272e+06
P0AB24	P0AB24	EFEO_ECOLI	efeO	Iron uptake system component EfeO	3.16392e+06	2.97651e+06	3.00544e+06	3.11338e+06	3.1412e+06	3.37048e+06
P0AB26	P0AB26	YCEB_ECOLI	yceB	Uncharacterized lipoprotein YceB	865951	935763	951871	920228	926976	1.01259e+06
P0AB28	P0AB28	YCED_ECOLI	yceD	Uncharacterized protein YceD	5.68427e+06	6.56124e+06	6.64903e+06	5.97205e+06	5.99143e+06	6.19278e+06
P0AB38	P0AB38	LPOB_ECOLI	lpoB	Penicillin-binding protein activator LpoB	1.36033e+06	1.48017e+06	1.36191e+06	1.50128e+06	1.69943e+06	1.62976e+06
P0AB43	P0AB43	YCGL_ECOLI	ycgL	Protein YcgL	1.04994e+06	976544	989067	991692	1.11867e+06	1.12474e+06
P0AB46	P0AB46	YMGD_ECOLI	ymgD	Uncharacterized protein YmgD	409247		293974	401663	350520	475901
P0AB52	P0AB52	YCHN_ECOLI	ychN	Protein YchN	472506	485386	590141	443662	560161	584900
P0AB61	P0AB61	YCIN_ECOLI	yciN	Protein YciN	4.68393e+06	4.62717e+06	4.8411e+06	4.68795e+06	4.74669e+06	4.69944e+06
P0AB71	P0AB71	ALF_ECOLI	fbaA	Fructose-bisphosphate aldolase class 2	5.15343e+07	4.77049e+07	4.83008e+07	4.55168e+07	4.37398e+07	4.51565e+07
P0AB77	P0AB77	KBL_ECOLI	kbl	2-amino-3-ketobutyrate coenzyme A ligase	5.93151e+06	5.26974e+06	5.94405e+06	5.93689e+06	5.93267e+06	6.04388e+06
P0AB80	P0AB80	ILVE_ECOLI	ilvE	Branched-chain-amino-acid aminotransferase	5.6273e+06	5.06526e+06	5.93848e+06	6.27146e+06	6.33792e+06	6.17722e+06
P0AB89	P0AB89	PUR8_ECOLI	purB	Adenylosuccinate lyase	4.06577e+06	3.78528e+06	4.29004e+06	3.72912e+06	4.01652e+06	3.86353e+06
P0AB91	P0AB91	AROG_ECOLI	aroG	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive	1.63625e+06	1.50114e+06	1.59034e+06	1.5714e+06	1.91913e+06	1.77662e+06
P0ABA0	P0ABA0	ATPF_ECOLI	atpF	ATP synthase subunit b	2.94691e+07	2.55261e+07	2.86775e+07	3.20944e+07	2.77801e+07	2.93472e+07
P0ABA4	P0ABA4	ATPD_ECOLI	atpH	ATP synthase subunit delta	2.40109e+07	2.47483e+07	2.41994e+07	2.37916e+07	2.48037e+07	2.49946e+07
P0ABA6	P0ABA6	ATPG_ECOLI	atpG	ATP synthase gamma chain	6.76734e+06	6.53914e+06	7.3463e+06	7.20139e+06	6.84601e+06	6.61048e+06
P0ABB0	P0ABB0	ATPA_ECOLI	atpA	ATP synthase subunit alpha	3.67755e+07	3.56147e+07	3.79555e+07	3.80523e+07	3.84084e+07	3.93214e+07
P0ABB4	P0ABB4	ATPB_ECOLI	atpD	ATP synthase subunit beta	3.79954e+07	3.42566e+07	3.75452e+07	3.91805e+07	3.73988e+07	3.79716e+07
P0ABB8	P0ABB8	ATMA_ECOLI	mgtA	Magnesium-transporting ATPase, P-type 1	448379	428877	390561	492841	538540	468906
P0ABC3	P0ABC3	HFLC_ECOLI	hflC	Modulator of FtsH protease HflC	1.33888e+07	1.2774e+07	1.33883e+07	1.3084e+07	1.29567e+07	1.29792e+07
P0ABC7	P0ABC7	HFLK_ECOLI	hflK	Modulator of FtsH protease HflK	6.63077e+06	7.34843e+06	7.47194e+06	7.66896e+06	8.13084e+06	7.90338e+06
P0ABD3	P0ABD3	BFR_ECOLI	bfr	Bacterioferritin	7.57514e+06	7.48245e+06	7.67529e+06	7.42647e+06	7.28346e+06	7.48564e+06
P0ABD5	P0ABD5	ACCA_ECOLI	accA	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha	1.11073e+07	1.17021e+07	1.13612e+07	1.23002e+07	1.23988e+07	1.22843e+07
P0ABD8	P0ABD8	BCCP_ECOLI	accB	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	9.3289e+06	6.51398e+06	7.73978e+06	9.07634e+06	8.17624e+06	7.95602e+06
P0ABE2	P0ABE2	BOLA_ECOLI	bolA	Protein BolA	5.3676e+06	4.27962e+06	5.11589e+06	4.19903e+06	4.2736e+06	4.45824e+06
P0ABF1	P0ABF1	PCNB_ECOLI	pcnB	Poly(A) polymerase I	1.16139e+06	1.30599e+06	1.11289e+06	1.0592e+06	1.00265e+06	1.10665e+06
